focus_mode,n_tasks,n_servers,algorithm,seed,best_cost,energy_W,latency_ms,cpu_violation,mem_violation,n_active_servers,feasible,runtime_s
balanced,50,10,UMDA (EDA),16,1.8202,12581.3109,23984.6345,0.0000,0.0000,10,True,6.6431
balanced,50,10,UMDA (EDA),17,1.8159,12600.0468,23814.9675,0.0000,0.0000,10,True,8.0680
balanced,50,10,UMDA (EDA),18,1.8248,12659.9946,23934.2443,0.0000,0.0000,10,True,8.6031
balanced,50,10,UMDA (EDA),19,1.8173,12628.1223,23790.2055,0.0000,0.0000,10,True,7.7995
balanced,50,10,Branch & Bound,0,1.9981,11853.9963,30884.0045,0.0000,0.0000,5,True,60.6554
balanced,50,10,Greedy BFD (baseline),0,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0006
balanced,50,10,Greedy BFD (baseline),1,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0005
balanced,50,10,Greedy BFD (baseline),2,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0005
balanced,50,10,Greedy BFD (baseline),3,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0006
balanced,50,10,Greedy BFD (baseline),4,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0005
balanced,50,10,Greedy BFD (baseline),5,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0006
balanced,50,10,Greedy BFD (baseline),6,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0004
balanced,50,10,Greedy BFD (baseline),7,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0003
balanced,50,10,Greedy BFD (baseline),8,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0004
balanced,50,10,Greedy BFD (baseline),9,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0003
balanced,50,10,Greedy BFD (baseline),10,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0003
balanced,50,10,Greedy BFD (baseline),11,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0003
balanced,50,10,Greedy BFD (baseline),12,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0003
balanced,50,10,Greedy BFD (baseline),13,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0003
balanced,50,10,Greedy BFD (baseline),14,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0003
balanced,50,10,Greedy BFD (baseline),15,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0004
balanced,50,10,Greedy BFD (baseline),16,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0004
balanced,50,10,Greedy BFD (baseline),17,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0004
balanced,50,10,Greedy BFD (baseline),18,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0004
balanced,50,10,Greedy BFD (baseline),19,2.0062,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0004
balanced,50,10,Round-Robin (baseline),0,14.9027,15325.2319,25324.1863,1.0419,27500.6340,10,False,0.0002
balanced,50,10,Random (baseline),0,13.9410,15288.2567,25469.5047,86.0183,8612.8759,10,False,0.0001
balanced,50,10,Random (baseline),1,30.4378,14967.3305,27687.1021,81.3151,45091.7649,10,False,0.0001
balanced,50,10,Random (baseline),2,45.1640,16163.9879,29597.6235,145.1852,63944.3302,10,False,0.0001
balanced,50,10,Random (baseline),3,42.1482,15971.3184,29935.0001,249.9089,36724.0665,10,False,0.0000
balanced,50,10,Random (baseline),4,17.0152,14372.9830,27400.2228,39.6424,24443.7189,10,False,0.0000
balanced,50,10,Random (baseline),5,49.7702,15693.8158,30377.2924,180.8948,66862.0713,10,False,0.0000
balanced,50,10,Random (baseline),6,9.4987,15139.3129,26496.0658,74.5370,1231.0612,10,False,0.0001
balanced,50,10,Random (baseline),7,39.2567,15364.7663,28653.5212,187.8352,42948.6455,9,False,0.0000
balanced,50,10,Random (baseline),8,53.0855,15343.6968,29842.9124,240.4037,62359.2207,10,False,0.0000
balanced,50,10,Random (baseline),9,40.3617,16008.6132,27690.6644,190.4052,44789.1885,10,False,0.0001
balanced,50,10,Random (baseline),10,27.7947,15508.2837,28370.7543,18.5242,51652.6643,10,False,0.0001
balanced,50,10,Random (baseline),11,8.2911,14990.5112,26613.9471,34.7267,6510.6855,10,False,0.0001
balanced,50,10,Random (baseline),12,25.1743,15726.5920,27096.4064,29.0377,43966.3738,10,False,0.0001
balanced,50,10,Random (baseline),13,51.4887,15497.3869,30091.9702,254.7132,56032.9453,10,False,0.0000
balanced,50,10,Random (baseline),14,11.0523,14779.6203,26800.3857,82.3827,3076.9573,10,False,0.0000
balanced,50,10,Random (baseline),15,5.9099,15305.1998,27897.0260,7.0699,6684.3416,10,False,0.0001
balanced,50,10,Random (baseline),16,5.1077,15215.4793,25951.6343,0.5115,6406.4621,10,False,0.0001
balanced,50,10,Random (baseline),17,38.3663,15885.6322,29642.0201,185.3175,41359.3054,10,False,0.0001
balanced,50,10,Random (baseline),18,9.1637,14778.5184,27017.7680,1.7508,14924.7697,10,False,0.0001
balanced,50,10,Random (baseline),19,25.7546,15168.3578,28270.1666,163.3576,18666.9062,10,False,0.0001
